,name,stars
0,backstage/backstage,22307
1,NixOS/nixpkgs,12316
2,payloadcms/payload,10693
3,bigbluebutton/bigbluebutton,8009
4,MichalLytek/type-graphql,7784
5,apollographql/react-apollo,6897
6,module-federation/module-federation-examples,4390
7,its-a-feature/Mythic,2325
8,datopian/portaljs,2069
9,Chainlit/chainlit,1813
10,Shopify/quilt,1578
11,metlo-labs/metlo,1416
12,ZhangZhuoSJTU/Web3Bugs,1166
13,ffxiv-teamcraft/ffxiv-teamcraft,1059
14,open-sauced/open-sauced,884
15,coral-xyz/backpack,850
16,Just-Moh-it/Pckd,716
17,apptension/saas-boilerplate,714
18,rsocket/rsocket-js,540
19,Uniswap/wallet,524
20,PaladinCloud/CE,516
21,silverstripe/silverstripe-cms,510
22,apollographql/ac3-state-management-examples,484
23,adobe/aem-project-archetype,477
24,skiff-org/skiff-apps,460
25,Project-Books/book-project,427
26,Helicone/helicone,423
27,aerogear/graphback,404
28,apollographql/gatsby-theme-apollo,373
29,rage/java-programming,359
30,boostercloud/booster,354
31,vmware/versatile-data-kit,340
32,SevenTV/Extension,317
33,Cezerin2/Cezerin2,295
34,scale8/scale8-tag-manager-and-analytics,286
35,w3f/polkadot-wiki,276
36,Azure-Samples/contoso-real-estate,272
37,smakosh/old-smakosh.com,259
38,intelligo-mn/intelligo.store,258
39,uhyo/nitrogql,242
40,heybereket/oasis,241
41,keep-network/tbtc,212
42,dooboolab-community/hackatalk,201
43,reearth/reearth,199
44,rolling-scopes-school/RSS-Teams-FE,176
45,hiberbee/themes,164
46,Minds/front,159
47,kitsune-soc/kitsune,150
48,Dan6erbond/jolt,149
49,mapswipe/mapswipe,142
50,awslabs/aws-cloudfront-extensions,138
51,abdelhamidbakhta/token-vesting-contracts,136
52,suiet/suiet,129
53,poozlehq/engine,126
54,Netflix/dgs-examples-java,126
55,stateful/vscode-runme,119
56,cosmology-tech/create-cosmos-app,111
57,w3bdesign/nuxtjs-woocommerce,111
58,Canner/vulcan-sql,109
59,Vikash-8090-Yadav/Future.WebNet,109
60,silverstripe/silverstripe-elemental,108
61,awslabs/data-transfer-hub,108
62,fleekxyz/non-fungible-apps,106
63,KLab/wsnet2,99
64,muharamdani/poe,96
65,BeanstalkFarms/Beanstalk,91
66,ConvoStack/convostack,88
67,TarkovTracker/TarkovTracker,86
68,awslabs/graphql-schema-utilities,85
69,KlimaDAO/klimadao,81
70,CaptainFact/captain-fact-frontend,81
71,apollographql/apollo-client-nextjs,77
72,twentyhq/twenty,76
73,TriPSs/nestjs-query,76
74,vendure-ecommerce/real-world-vendure,75
75,hiddenswitch/Spellsource,75
76,touchlesscode/exo,75
77,EmpowerPlastic/empowerchain,72
78,Ninjas-Code-official/Marketplace-Food-Delivery-Solution,72
79,dappros/ethora,70
80,apollographql/blog,68
81,White-Whale-Defi-Platform/white-whale-bots,64
82,MrWangJustToDo/MyReact,63
83,xilibi2003/training_camp_2,62
84,keep-network/keep-ecdsa,59
85,Shardeum/shardeum-missions,57
86,AstarNetwork/astar-apps,56
87,Energinet-DataHub/greenforce-frontend,56
88,dabit3/xmtp-chat-app-nextjs,56
89,notrab/chatbase,54
90,use-lens/use-lens,49
91,tsirysndr/superviseur,48
92,stelo-labs/stelo-extension,48
93,DevanAbinaya/Ani-Moopa,46
94,innovatorved/nexttalk-frontend,46
95,rage/programming-22,43
96,Takumon/blog,42
97,dabit3/lens-protocol-workshop,41
