,name,stars
0,withspectrum/spectrum,10745
1,nhost/nhost,6725
2,ashutosh1919/masterPortfolio,2564
3,Canner/cannercms,2430
4,datopian/portaljs,2069
5,liferay/liferay-portal,1978
6,42atomys/stud42,877
7,guidone/node-red-contrib-chatbot,860
8,replicatedhq/kots,820
9,SaraVieira/awesome-talks,812
10,saleor/saleor-storefront,773
11,aerogear/offix,769
12,aws-samples/lambda-refarch-imagerecognition,662
13,OriginProtocol/origin,649
14,AztecProtocol/aztec-v1,620
15,eea-oasis/baseline,568
16,apollographql/reason-apollo,556
17,grand-stack/grand-stack-starter,501
18,Shopify/shopify-demo-app-node-react,444
19,aragon/aragon-apps,382
20,manikandanraji/twitter-clone-frontend,367
21,functionless/functionless,319
22,stealthdrop/stealthdrop,319
23,apollographql/apollo-link-persisted-queries,305
24,FormidableLabs/seattlejsconf-app,304
25,Shopify/product-reviews-sample-app,300
26,hiroppy/ssr-sample,287
27,Epistimio/orion,261
28,stackrole/gatsby-starter-foundation,260
29,bandprotocol/bandchain,227
30,shoutem/extensions,223
31,adieuadieu/retinal,219
32,Ninjas-Code-official/Enatega-Restaurant-Solution,200
33,hasura/json2graphql,199
34,nhn/toast-ui.vue-calendar,197
35,nervosnetwork/muta,172
36,awslabs/aws-dataall,161
37,tokopedia/treats,160
38,hasura/client-side-graphql,145
39,Uniswap/org-v1,144
40,alytrics/yaba-social,132
41,4GeeksAcademy/Templates-Boilerplates,129
42,delucis/astro-netlify-cms,122
43,SalesforceCommerceCloud/sfcc-sample-apps,117
44,katopz/react-apollo-graphql-github-example,116
45,grand-stack/graphql-auth-directives,114
46,LFSCamargo/Chatify,112
47,docker-hy/docker-hy.github.io,111
48,18F/handbook,107
49,0xHexE/keycloak-hasura-connector,105
50,gil--/gatsby-starter-shopify-app,104
51,gil--/gatsby-starter-shopifypwa,102
52,infrastructure-components/infrastructure-components,101
53,starknet-io/starknet-website,101
54,DidoMarchet/starter-kit-nuxt-locomotive-scroll,100
55,System-Glitch/Solidity-IDE,92
56,Uniswap/api-deprecated,86
57,aws-samples/aws-builders-fair-projects,83
58,BuidlGuidl/abi.ninja,83
59,realm/realm-graphql,81
60,henry40408/awesome-stars,80
61,strues/boldr,78
62,lumen-cms/lumen-cms,78
63,denniske/aoe2companion,76
64,Ninjas-Code-official/Marketplace-Food-Delivery-Solution,72
65,Bayer-Group/ol-kit,71
66,monopayments/iban.im,66
67,strapi/strapi-starter-angular-blog,65
68,javamonn/sunspot,64
69,xilibi2003/training_camp_2,62
70,kubernetes-hy/kubernetes-hy.github.io,62
71,m-rgba/hasura-django-starter,61
72,vgrafe/nextjs-auth0-hasura,61
73,hygraph/example_01_nextjs_apollo,59
74,nerdify/db-schema-diagram,58
75,aws-amplify/amplify-category-api,58
76,SashenJayathilaka/Unique-Project-Ideas,57
